"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Carbon Dioxide (CO2) (kt)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",393.0,331.2,294.9,307.3,257.0,284.9,269.0,309.6,300.8,367.9,381.3,404.3,400.1,388.4,462.7,452.6,425.5,450.1,476.2,414.2,441.7,417.4,488.1,495.1,483.0,439.7,449.7,447.0,442.5
"Carbon Dioxide (CO2) (kt)","HEATING OF HOUSES AND PREMISES, TOTAL",9051.5,8851.0,8098.3,8061.8,8066.4,7677.6,7741.5,6949.8,6840.7,6384.6,6265.5,5455.7,4918.6,4611.0,4320.2,3153.9,2551.0,2323.0,1748.4,1496.1,1669.4,1299.4,1138.9,1018.3,958.6,887.7,828.0,780.7,758.1
"Carbon Dioxide (CO2) (kt)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",-36235.9,-35332.1,-35172.1,-31094.6,-33393.3,-36273.5,-38676.7,-39378.3,-39979.6,-39324.1,-41506.6,-42707.7,-42296.1,-39843.4,-33642.1,-33915.9,-44070.7,-42231.8,-43149.4,-43506.3,-46816.7,-45486.5,-46039.5,-44106.1,-42667.3,-43645.2,-46472.5,-44748.6,-43740.5
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",12390.5,13178.7,14103.6,15300.7,16804.2,17715.4,19277.1,18106.1,18373.5,18443.6,17077.0,20155.2,19819.7,20894.3,21170.8,22816.7,24175.6,24732.8,26413.9,27830.2,30133.9,28131.4,28795.8,29776.7,28442.4,29339.6,31535.1,32743.6,32310.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (excluding LULUCF, including international transports)",12390.5,13178.7,14103.6,15300.7,16804.2,17715.4,19277.1,18106.1,18373.5,18443.6,17077.0,20155.2,19819.7,20894.3,21170.8,22816.7,24175.6,24732.8,26413.9,27830.2,30133.9,28131.4,28795.8,29776.7,28442.4,29339.6,31535.1,32743.6,32310.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (including LULUCF, excluding international transports)",12390.5,13178.7,14103.6,15300.7,16804.2,17715.4,19277.1,18106.1,18373.5,18443.6,17077.0,20155.2,19819.7,20894.3,21170.8,22816.7,24175.6,24732.8,26413.9,27830.2,30133.9,28131.4,28795.8,29776.7,28442.4,29339.6,31535.1,32743.6,32310.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","NATIONAL TOTAL (including LULUCF, including international transports)",12390.5,13178.7,14103.6,15300.7,16804.2,17715.4,19277.1,18106.1,18373.5,18443.6,17077.0,20155.2,19819.7,20894.3,21170.8,22816.7,24175.6,24732.8,26413.9,27830.2,30133.9,28131.4,28795.8,29776.7,28442.4,29339.6,31535.1,32743.6,32310.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,9.8,4.8,2.9,8.1,13.8,50.1,27.1,67.2,106.8,127.8,155.8,157.5,189.7,260.4,338.2,486.4,621.9,823.7,947.4,1053.5
"Biogenic carbon dioxide (CO2) from fuels (kt)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,39.6,46.0,46.2,43.3,48.0,50.1,52.5,51.8,55.9,35.9,33.7,33.3,32.0,27.5,29.9,29.2
"Biogenic carbon dioxide (CO2) from fuels (kt)","ELECTRICITY AND DISTRICT HEATING, TOTAL",2158.2,2565.7,2547.5,3709.2,4621.1,5693.5,7458.7,6718.3,7095.5,7654.7,7421.9,8832.9,9136.4,10046.7,10249.5,11637.0,12103.8,12337.0,13591.5,14607.2,16451.3,14505.4,14980.2,15357.5,14156.4,14368.7,15339.5,15719.5,15658.5
"Biogenic carbon dioxide (CO2) from fuels (kt)","INDUSTRY, TOTAL",6307.3,6511.0,7338.2,7223.9,8006.1,7632.8,7373.6,7192.8,7351.8,6962.6,5809.0,7561.6,6669.7,6054.7,6002.9,5975.6,6926.7,6633.9,6781.7,6812.6,7230.8,6829.4,6835.1,7094.9,6627.3,6781.2,6937.3,7120.5,7021.0
"Biogenic carbon dioxide (CO2) from fuels (kt)","DOMESTIC TRANSPORT, TOTAL",2.9,3.2,3.2,5.2,5.2,10.9,15.0,20.3,53.3,49.0,58.3,81.0,135.5,246.0,415.3,457.2,615.9,797.8,962.6,1002.0,1093.3,1284.4,1525.4,1769.8,2293.0,2730.9,3466.1,3904.8,4135.5
"Biogenic carbon dioxide (CO2) from fuels (kt)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogenic carbon dioxide (CO2) from fuels (kt)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogenic carbon dioxide (CO2) from fuels (kt)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogenic carbon dioxide (CO2) from fuels (kt)","HEATING OF HOUSES AND PREMISES, TOTAL",3922.0,4098.7,4214.7,4362.5,4171.8,4378.2,4429.9,4174.6,3872.9,3767.6,3783.0,3676.7,3870.0,4493.6,4407.0,4673.6,4418.7,4809.4,4900.2,5200.1,5149.1,5266.7,5158.7,5182.6,4846.0,4804.8,4941.0,5021.6,4412.4
"Biogenic carbon dioxide (CO2) from fuels (kt)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Methane (CH4) (t)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",296754.0,296602.4,301999.6,301038.4,298569.2,294683.9,295026.6,292235.0,287934.0,279944.7,273326.3,270416.8,260545.2,252155.2,253213.9,245620.6,241082.0,230602.4,219711.3,213528.3,208661.6,202640.1,195982.5,193126.4,188070.8,183821.8,180439.7,178819.6,175221.8
"Methane (CH4) (t)","NATIONAL TOTAL (excluding LULUCF, including international transports)",296786.9,296633.8,302030.3,301072.1,298607.2,294730.1,295068.8,292281.5,287988.1,279999.2,273377.4,270464.9,260586.0,252205.6,253273.0,245681.7,241148.8,230668.0,219784.4,213601.5,208730.7,202703.5,196043.3,193185.2,188132.1,183875.3,180501.1,178886.6,175299.4
"Methane (CH4) (t)","NATIONAL TOTAL (including LULUCF, excluding international transports)",315643.0,315477.6,320874.1,319886.9,317441.2,313590.9,313896.9,311475.4,306741.1,298960.1,292360.8,289475.1,279671.8,271234.4,272131.0,264524.2,260183.2,249237.4,238629.9,231739.6,226749.8,220487.9,213409.2,210660.2,206792.6,201521.8,198290.3,196537.9,195007.1
"Methane (CH4) (t)","NATIONAL TOTAL (including LULUCF, including international transports)",315675.9,315509.0,320904.8,319920.6,317479.3,313637.1,313939.2,311521.9,306795.2,299014.7,292411.8,289523.2,279712.6,271284.9,272190.1,264585.3,260250.0,249303.0,238703.0,231812.9,226818.9,220551.3,213469.9,210719.1,206853.8,201575.4,198351.6,196604.9,195084.6
"Methane (CH4) (t)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",510.1,509.5,509.7,508.6,508.6,510.2,516.8,520.5,526.1,526.7,524.8,516.8,518.0,518.8,522.0,513.2,557.3,573.6,579.9,560.3,535.3,501.2,465.7,433.7,412.5,397.5,390.6,384.4,373.4
